Index,State,CODE
0,Minnesota,MN
1,Missouri,MO
2,Hawaii,HI
3,Washington,WA
4,Idaho,ID
5,Arizona,AZ
6,Massachusetts,MA
7,New York,NY
8,Colorado,CO
9,Louisiana,LA
10,Indiana,IN
11,West Virginia,WV
12,Delaware,DE
13,Florida,FL
14,Iowa,IA
15,Utah,UT
16,North Carolina,NC
17,Alabama,AL
18,Michigan,MI
19,Wisconsin,WI
20,South Carolina,SC
21,Maryland,MD
22,Georgia (State),GA
23,Alaska,AK
24,Texas,TX
25,Wyoming,WY
26,Nebraska,NE
27,District Of Columbia,DC
28,Kansas,KS
29,Arkansas,AR
30,Oklahoma,OK
31,Mississippi,MS
32,Montana,MT
33,Ohio,OH
34,Pennsylvania,PA
35,Kentucky,KY
36,New Hampshire,NH
37,Rhode Island,RI
38,Connecticut,CT
39,New Mexico,NM
40,South Dakota,SD
41,California,CA
42,Oregon,OR
43,Illinois,IL
44,Tennessee,TN
45,Maine,ME
46,Virginia,VA
47,Nevada,NV
48,New Jersey,NJ
49,Vermont,VT
50,North Dakota,ND
